[2025-11-26T03:48:04.752+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-11-26T03:48:04.796+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-11-26T03:46:00+00:00 [queued]>
[2025-11-26T03:48:04.805+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-11-26T03:46:00+00:00 [queued]>
[2025-11-26T03:48:04.806+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-11-26T03:48:22.811+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127152.json to Snowflake stage
[2025-11-26T03:48:22.991+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127162.json to Snowflake stage
[2025-11-26T03:48:23.117+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127172.json to Snowflake stage
[2025-11-26T03:48:23.295+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127181.json to Snowflake stage
[2025-11-26T03:48:23.470+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127191.json to Snowflake stage
[2025-11-26T03:48:23.684+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127201.json to Snowflake stage
[2025-11-26T03:48:23.916+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127211.json to Snowflake stage
[2025-11-26T03:48:24.140+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127222.json to Snowflake stage
[2025-11-26T03:48:24.356+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127232.json to Snowflake stage
[2025-11-26T03:48:24.483+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127243.json to Snowflake stage
[2025-11-26T03:48:24.671+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127252.json to Snowflake stage
[2025-11-26T03:48:24.870+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127262.json to Snowflake stage
[2025-11-26T03:48:25.061+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127272.json to Snowflake stage
[2025-11-26T03:48:25.273+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127283.json to Snowflake stage
[2025-11-26T03:48:25.475+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127293.json to Snowflake stage
[2025-11-26T03:48:25.676+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127303.json to Snowflake stage
[2025-11-26T03:48:25.799+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127313.json to Snowflake stage
[2025-11-26T03:48:26.155+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127322.json to Snowflake stage
[2025-11-26T03:48:26.428+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127332.json to Snowflake stage
[2025-11-26T03:48:26.687+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127342.json to Snowflake stage
[2025-11-26T03:48:26.922+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127351.json to Snowflake stage
[2025-11-26T03:48:27.065+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127062.json to Snowflake stage
[2025-11-26T03:48:27.261+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127071.json to Snowflake stage
[2025-11-26T03:48:27.436+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127082.json to Snowflake stage
[2025-11-26T03:48:27.574+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127092.json to Snowflake stage
[2025-11-26T03:48:27.730+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127102.json to Snowflake stage
[2025-11-26T03:48:27.871+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127111.json to Snowflake stage
[2025-11-26T03:48:28.072+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127121.json to Snowflake stage
[2025-11-26T03:48:28.256+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127131.json to Snowflake stage
[2025-11-26T03:48:28.403+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127140.json to Snowflake stage
[2025-11-26T03:48:28.603+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127151.json to Snowflake stage
[2025-11-26T03:48:28.770+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127161.json to Snowflake stage
[2025-11-26T03:48:28.981+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127171.json to Snowflake stage
[2025-11-26T03:48:29.153+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127180.json to Snowflake stage
[2025-11-26T03:48:29.380+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127190.json to Snowflake stage
[2025-11-26T03:48:29.791+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127200.json to Snowflake stage
[2025-11-26T03:48:29.981+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127210.json to Snowflake stage
[2025-11-26T03:48:30.125+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127221.json to Snowflake stage
[2025-11-26T03:48:30.333+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127232.json to Snowflake stage
[2025-11-26T03:48:30.537+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127242.json to Snowflake stage
[2025-11-26T03:48:30.722+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127251.json to Snowflake stage
[2025-11-26T03:48:30.884+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127261.json to Snowflake stage
[2025-11-26T03:48:31.146+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127271.json to Snowflake stage
[2025-11-26T03:48:31.317+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127282.json to Snowflake stage
[2025-11-26T03:48:31.637+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127292.json to Snowflake stage
[2025-11-26T03:48:31.844+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127302.json to Snowflake stage
[2025-11-26T03:48:32.030+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127312.json to Snowflake stage
[2025-11-26T03:48:32.148+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127322.json to Snowflake stage
[2025-11-26T03:48:32.323+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127331.json to Snowflake stage
[2025-11-26T03:48:32.508+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127341.json to Snowflake stage
[2025-11-26T03:48:32.669+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127350.json to Snowflake stage
[2025-11-26T03:48:32.867+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127064.json to Snowflake stage
[2025-11-26T03:48:33.056+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127074.json to Snowflake stage
[2025-11-26T03:48:33.311+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127085.json to Snowflake stage
[2025-11-26T03:48:33.555+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127094.json to Snowflake stage
[2025-11-26T03:48:33.730+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127104.json to Snowflake stage
[2025-11-26T03:48:33.870+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127113.json to Snowflake stage
[2025-11-26T03:48:34.069+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127124.json to Snowflake stage
[2025-11-26T03:48:34.263+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127133.json to Snowflake stage
[2025-11-26T03:48:34.460+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127143.json to Snowflake stage
[2025-11-26T03:48:34.646+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127154.json to Snowflake stage
[2025-11-26T03:48:34.805+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127163.json to Snowflake stage
[2025-11-26T03:48:35.044+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127173.json to Snowflake stage
[2025-11-26T03:48:35.247+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127183.json to Snowflake stage
[2025-11-26T03:48:35.479+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127193.json to Snowflake stage
[2025-11-26T03:48:35.707+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127203.json to Snowflake stage
[2025-11-26T03:48:35.914+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127213.json to Snowflake stage
[2025-11-26T03:48:36.119+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127224.json to Snowflake stage
[2025-11-26T03:48:36.336+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127234.json to Snowflake stage
[2025-11-26T03:48:36.554+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127244.json to Snowflake stage
[2025-11-26T03:48:36.754+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127254.json to Snowflake stage
[2025-11-26T03:48:37.089+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127263.json to Snowflake stage
[2025-11-26T03:48:37.313+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127274.json to Snowflake stage
[2025-11-26T03:48:37.475+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127284.json to Snowflake stage
[2025-11-26T03:48:37.684+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127294.json to Snowflake stage
[2025-11-26T03:48:37.945+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127305.json to Snowflake stage
[2025-11-26T03:48:38.177+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127314.json to Snowflake stage
[2025-11-26T03:48:38.362+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127324.json to Snowflake stage
[2025-11-26T03:48:38.546+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127333.json to Snowflake stage
[2025-11-26T03:48:38.727+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127343.json to Snowflake stage
[2025-11-26T03:48:38.965+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127353.json to Snowflake stage
[2025-11-26T03:48:41.087+0000] {cursor.py:1149} INFO - Number of results in first chunk: 125
[2025-11-26T03:48:41.105+0000] {logging_mixin.py:188} INFO - COPY INTO executed
[2025-11-26T03:48:41.179+0000] {connection.py:773} INFO - closed
[2025-11-26T03:48:41.364+0000] {connection.py:779} INFO - No async queries seem to be running, deleting session
[2025-11-26T03:48:41.525+0000] {python.py:237} INFO - Done. Returned value was: None
[2025-11-26T03:48:41.540+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2025-11-26T03:48:42.286+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=minio_to_snowflake, task_id=load_snowflake, run_id=scheduled__2025-11-26T03:46:00+00:00, execution_date=20251126T034600, start_date=20251126T034804, end_date=20251126T034842
[2025-11-26T03:48:43.025+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2025-11-26T03:48:43.552+0000] {taskinstance.py:3503} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2025-11-26T03:48:43.559+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
